"","symbol","datetime","volume","midpoint"
"1","FAST","2022-03-01 9:45:00",158430.2,51.505
"2","FAST","2022-03-01 10:00:00",337332.3,51.38
"3","FAST","2022-03-01 10:15:00",292177.5,51.62
"4","FAST","2022-03-01 10:30:00",97747,51.575
"5","FAST","2022-03-01 10:45:00",101527.2,51.16
"6","FAST","2022-03-01 11:00:00",95193.8,51.24
"7","FAST","2022-03-01 11:15:00",142977,51.64
"8","FAST","2022-03-01 11:30:00",111303.6,51.72
"9","FAST","2022-03-01 11:45:00",97006.3999999999,51.505
"10","FAST","2022-03-01 12:00:00",138933.1,51.39
"11","FAST","2022-03-01 12:15:00",164447.4,51.49
"12","FAST","2022-03-01 12:30:00",71017.5,51.42
"13","FAST","2022-03-01 12:45:00",128783.6,51.6
"14","FAST","2022-03-01 13:00:00",87707,51.66
"15","FAST","2022-03-01 13:15:00",101469.9,51.575
"16","FAST","2022-03-01 13:30:00",94334,51.42
"17","FAST","2022-03-01 13:45:00",93079.8999999999,51.56
"18","FAST","2022-03-01 14:00:00",83016.6000000001,51.56
"19","FAST","2022-03-01 14:15:00",105900,51.425
"20","FAST","2022-03-01 14:30:00",95095.3999999999,51.725
"21","FAST","2022-03-01 14:45:00",131179,51.955
"22","FAST","2022-03-01 15:00:00",126008.6,51.695
"23","FAST","2022-03-01 15:15:00",132085.6,51.85
"24","FAST","2022-03-01 15:30:00",120019.4,51.615
"25","FAST","2022-03-01 15:45:00",159307.8,51.615
"26","FAST","2022-03-01 16:00:00",551262.2,51.575
"27","FAST","2022-03-02 9:45:00",138969,52.16
"28","FAST","2022-03-02 10:00:00",67229,52.015
"29","FAST","2022-03-02 10:15:00",118421,52.12
"30","FAST","2022-03-02 10:30:00",93395.4,52.515
"31","FAST","2022-03-02 10:45:00",84849,52.445
"32","FAST","2022-03-02 11:00:00",50880.6,52.505
"33","FAST","2022-03-02 11:15:00",112476.6,52.7
"34","FAST","2022-03-02 11:30:00",65133.8,52.71
"35","FAST","2022-03-02 11:45:00",72354.6,52.62
"36","FAST","2022-03-02 12:00:00",42302.8,52.71
"37","FAST","2022-03-02 12:15:00",63105.2,52.725
"38","FAST","2022-03-02 12:30:00",53864,52.61
"39","FAST","2022-03-02 12:45:00",52500,52.655
"40","FAST","2022-03-02 13:00:00",56697,52.72
"41","FAST","2022-03-02 13:15:00",65162,52.715
"42","FAST","2022-03-02 13:30:00",63616,52.8
"43","FAST","2022-03-02 13:45:00",67088,52.775
"44","FAST","2022-03-02 14:00:00",53561,52.74
"45","FAST","2022-03-02 14:15:00",57658,52.775
"46","FAST","2022-03-02 14:30:00",124396.6,52.745
"47","FAST","2022-03-02 14:45:00",53648.2999999998,52.765
"48","FAST","2022-03-02 15:00:00",78399.8,52.605
"49","FAST","2022-03-02 15:15:00",93882.9000000001,52.605
"50","FAST","2022-03-02 15:30:00",161528.4,52.685
"51","FAST","2022-03-02 15:45:00",197770.4,52.715
"52","FAST","2022-03-02 16:00:00",574409.6,52.58
"53","FAST","2022-03-03 9:45:00",134520,53.165
"54","FAST","2022-03-03 10:00:00",66723.5,53.135
"55","FAST","2022-03-03 10:15:00",62137.5,53.25
"56","FAST","2022-03-03 10:30:00",70294,53.01
"57","FAST","2022-03-03 10:45:00",66490,52.955
"58","FAST","2022-03-03 11:00:00",71778.2,52.93
"59","FAST","2022-03-03 11:15:00",116625.8,52.945
"60","FAST","2022-03-03 11:30:00",77420.6,53.11
"61","FAST","2022-03-03 11:45:00",55905.6,53.16
"62","FAST","2022-03-03 12:00:00",66208.8,53.17
"63","FAST","2022-03-03 12:15:00",56707,53.17
"64","FAST","2022-03-03 12:30:00",54785.7,53.015
"65","FAST","2022-03-03 12:45:00",96331,53.245
